epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,276.713,1.8691,0.57216,0.98132,1.2107,0.000273914,0.000273914,0.000273914
2,549.446,0.90435,0.85229,1,0.3616,0.00054612,0.00054612,0.00054612
3,821.529,0.36101,0.95756,1,0.12691,0.000812829,0.000812829,0.000812829
4,1095.97,0.19092,0.96944,1,0.1273,0.00080826,0.00080826,0.00080826
5,1369.45,0.12555,0.98812,1,0.06664,0.000800013,0.000800013,0.000800013
6,1643.45,0.13761,0.99321,1,0.02385,0.000791767,0.000791767,0.000791767
7,1917.73,0.1007,0.98981,1,0.03122,0.00078352,0.00078352,0.00078352
8,2191.45,0.07381,0.98132,1,0.03113,0.000775273,0.000775273,0.000775273
9,2464.87,0.0714,0.99491,1,0.01766,0.000767026,0.000767026,0.000767026
10,2737.79,0.07655,0.99321,1,0.02141,0.00075878,0.00075878,0.00075878
11,3012.37,0.06452,0.99151,1,0.02179,0.000750533,0.000750533,0.000750533
12,3286.89,0.06935,0.99491,1,0.01466,0.000742286,0.000742286,0.000742286
13,3560.21,0.05339,0.99321,1,0.02221,0.00073404,0.00073404,0.00073404
14,3833.67,0.04596,0.99491,1,0.01461,0.000725793,0.000725793,0.000725793
15,4107.66,0.04283,0.99491,1,0.01215,0.000717546,0.000717546,0.000717546
16,4380.65,0.04074,0.99491,1,0.03284,0.000709299,0.000709299,0.000709299
17,4653.54,0.05191,0.99321,1,0.01957,0.000701053,0.000701053,0.000701053
18,4928.66,0.06355,0.99491,1,0.01044,0.000692806,0.000692806,0.000692806
19,5202.63,0.03668,0.98812,1,0.01429,0.000684559,0.000684559,0.000684559
20,5476.55,0.03854,0.99151,1,0.0129,0.000676313,0.000676313,0.000676313
21,5748.49,0.03087,0.99491,1,0.01051,0.000668066,0.000668066,0.000668066
22,6021.31,0.03658,0.99321,1,0.01494,0.000659819,0.000659819,0.000659819
23,6294.97,0.03428,0.99491,1,0.01138,0.000651573,0.000651573,0.000651573
24,6569.35,0.0316,0.98812,1,0.02007,0.000643326,0.000643326,0.000643326
25,6843.15,0.02762,0.99321,1,0.01114,0.000635079,0.000635079,0.000635079
26,7118.49,0.03005,0.99491,1,0.00999,0.000626832,0.000626832,0.000626832
27,7393.19,0.0327,0.99321,1,0.01253,0.000618586,0.000618586,0.000618586
28,7667.6,0.03966,0.99491,1,0.01186,0.000610339,0.000610339,0.000610339
29,7941.61,0.03723,0.99321,1,0.0141,0.000602092,0.000602092,0.000602092
30,8216.64,0.03461,0.99321,1,0.01641,0.000593846,0.000593846,0.000593846
31,8497.17,0.02793,0.99321,1,0.01095,0.000585599,0.000585599,0.000585599
32,8770.57,0.02121,0.99321,1,0.01128,0.000577352,0.000577352,0.000577352
33,9044.85,0.0382,0.99151,1,0.02353,0.000569106,0.000569106,0.000569106
34,9319.07,0.02412,0.99491,1,0.01338,0.000560859,0.000560859,0.000560859
35,9593.13,0.01795,0.99491,1,0.01062,0.000552612,0.000552612,0.000552612
36,9869.13,0.02499,0.99491,1,0.01596,0.000544365,0.000544365,0.000544365
37,10143.5,0.02252,0.99321,1,0.00972,0.000536119,0.000536119,0.000536119
38,10417.8,0.02483,0.99151,1,0.01102,0.000527872,0.000527872,0.000527872
39,10693.5,0.03958,0.99151,1,0.01666,0.000519625,0.000519625,0.000519625
40,10968.5,0.01806,0.98981,1,0.01582,0.000511379,0.000511379,0.000511379
41,11242.5,0.01766,0.99321,1,0.01326,0.000503132,0.000503132,0.000503132
42,11518,0.03108,0.99151,1,0.01262,0.000494885,0.000494885,0.000494885
43,11792.8,0.02347,0.98981,1,0.01177,0.000486639,0.000486639,0.000486639
44,12067.4,0.01899,0.99321,1,0.01248,0.000478392,0.000478392,0.000478392
45,12342.6,0.02073,0.99151,1,0.01281,0.000470145,0.000470145,0.000470145
46,12616.9,0.02334,0.98812,1,0.02565,0.000461898,0.000461898,0.000461898
47,12891.4,0.03048,0.98981,1,0.01239,0.000453652,0.000453652,0.000453652
48,13165.4,0.01948,0.99151,1,0.0128,0.000445405,0.000445405,0.000445405
49,13439.4,0.0239,0.99151,1,0.01336,0.000437158,0.000437158,0.000437158
50,13714.2,0.01682,0.99321,1,0.02688,0.000428912,0.000428912,0.000428912
51,13989.4,0.01514,0.99321,1,0.01218,0.000420665,0.000420665,0.000420665
52,14264.5,0.01792,0.99321,1,0.01202,0.000412418,0.000412418,0.000412418
53,14540.6,0.02376,0.99321,1,0.01041,0.000404172,0.000404172,0.000404172
54,14816,0.02135,0.99321,1,0.01528,0.000395925,0.000395925,0.000395925
55,15095.3,0.02333,0.99321,1,0.01172,0.000387678,0.000387678,0.000387678
56,15370.7,0.0326,0.99321,1,0.01038,0.000379431,0.000379431,0.000379431
57,15646.7,0.02723,0.99321,1,0.01091,0.000371185,0.000371185,0.000371185
58,15921.9,0.02798,0.99321,1,0.01086,0.000362938,0.000362938,0.000362938
59,16197,0.02741,0.99321,1,0.01502,0.000354691,0.000354691,0.000354691
60,16472,0.02658,0.99321,1,0.0314,0.000346445,0.000346445,0.000346445
61,16754.2,0.02199,0.99321,1,0.01251,0.000338198,0.000338198,0.000338198
62,17032.1,0.02165,0.99491,1,0.01135,0.000329951,0.000329951,0.000329951
63,17308.7,0.01818,0.99321,1,0.01448,0.000321705,0.000321705,0.000321705
64,17584.4,0.01737,0.99321,1,0.01458,0.000313458,0.000313458,0.000313458
65,17859.3,0.01722,0.99151,1,0.01513,0.000305211,0.000305211,0.000305211
66,18135,0.01207,0.99321,1,0.01271,0.000296964,0.000296964,0.000296964
67,18411.7,0.01843,0.99321,1,0.01257,0.000288718,0.000288718,0.000288718
68,18687.7,0.02449,0.99151,1,0.0125,0.000280471,0.000280471,0.000280471
69,18963.9,0.01638,0.99321,1,0.0107,0.000272224,0.000272224,0.000272224
70,19238.6,0.01915,0.99151,1,0.0125,0.000263978,0.000263978,0.000263978
71,19513.8,0.01498,0.98981,1,0.01069,0.000255731,0.000255731,0.000255731
72,19788.6,0.01236,0.99151,1,0.01148,0.000247484,0.000247484,0.000247484
73,20063.6,0.01301,0.99151,1,0.01121,0.000239238,0.000239238,0.000239238
74,20338.3,0.01238,0.99321,1,0.01129,0.000230991,0.000230991,0.000230991
75,20613.4,0.0194,0.99151,1,0.01401,0.000222744,0.000222744,0.000222744
76,20889.1,0.01121,0.99151,1,0.01762,0.000214497,0.000214497,0.000214497
77,21163.7,0.01174,0.99151,1,0.01211,0.000206251,0.000206251,0.000206251
78,21438.6,0.01237,0.99151,1,0.01065,0.000198004,0.000198004,0.000198004
79,21713.7,0.01089,0.99321,1,0.01078,0.000189757,0.000189757,0.000189757
80,21987.2,0.01917,0.99151,1,0.01208,0.000181511,0.000181511,0.000181511
81,22261.7,0.01797,0.99321,1,0.01073,0.000173264,0.000173264,0.000173264
82,22536,0.01234,0.99321,1,0.01183,0.000165017,0.000165017,0.000165017
83,22811.1,0.01331,0.99321,1,0.02116,0.000156771,0.000156771,0.000156771
84,23085.6,0.01381,0.99151,1,0.01052,0.000148524,0.000148524,0.000148524
85,23360.6,0.0077,0.99321,1,0.01051,0.000140277,0.000140277,0.000140277
86,23635.1,0.01412,0.99321,1,0.01043,0.000132031,0.000132031,0.000132031
87,23911.2,0.01343,0.99321,1,0.01012,0.000123784,0.000123784,0.000123784
88,24186.6,0.01024,0.99151,1,0.00986,0.000115537,0.000115537,0.000115537
89,24461.6,0.00989,0.99321,1,0.0161,0.00010729,0.00010729,0.00010729
90,24736.5,0.01082,0.99321,1,0.01013,9.90437e-05,9.90437e-05,9.90437e-05
91,25011.6,0.01049,0.99321,1,0.00988,9.0797e-05,9.0797e-05,9.0797e-05
92,25285.7,0.01009,0.99321,1,0.01001,8.25503e-05,8.25503e-05,8.25503e-05
93,25559.4,0.01247,0.99151,1,0.01004,7.43036e-05,7.43036e-05,7.43036e-05
94,25833.8,0.0102,0.99151,1,0.01268,6.60569e-05,6.60569e-05,6.60569e-05
95,26108.2,0.01326,0.99151,1,0.01018,5.78102e-05,5.78102e-05,5.78102e-05
96,26383.1,0.00936,0.99321,1,0.01007,4.95635e-05,4.95635e-05,4.95635e-05
97,26655,0.01073,0.99321,1,0.01003,4.13168e-05,4.13168e-05,4.13168e-05
98,26930.9,0.01032,0.99151,1,0.0101,3.30701e-05,3.30701e-05,3.30701e-05
99,27207.7,0.01581,0.99151,1,0.01503,2.48234e-05,2.48234e-05,2.48234e-05
100,27485,0.00945,0.99151,1,0.0101,1.65767e-05,1.65767e-05,1.65767e-05
