image_path,posture_type,category,landmarks
SittingData\good\2\1.jpg,,good,"[0.5493391752243042, -0.03931748867034912, 0.9681622385978699, 0.5395176410675049, -0.0648036003112793, 0.9260708093643188, 0.5485039353370667, -0.06721436977386475, 0.9363975524902344, 0.5470596551895142, -0.067959725856781, 0.9609824419021606, 0.5436621904373169, -0.062142133712768555, 0.961535632610321, 0.5444278120994568, -0.05932128429412842, 0.9705995917320251, 0.5448906421661377, -0.05725407600402832, 0.9807388782501221, 0.5250085592269897, -0.06660616397857666, 0.9906226992607117, 0.5289872884750366, -0.04597008228302002, 0.9850794076919556, 0.5422430038452148, -0.0046964287757873535, 0.9841433763504028, 0.5430576801300049, -0.006051003932952881, 0.9920661449432373, 0.5291004180908203, 0.13924181461334229, 0.999858021736145, 0.4722191393375397, 0.138035386800766, 0.9998643398284912, 0.54120272397995, 0.4320753216743469, 0.22626493871212006, 0.4731779992580414, 0.49236130714416504, 0.9975427389144897, 0.6492677330970764, 0.5096935033798218, 0.4249279499053955, 0.6504961848258972, 0.5996172428131104, 0.9963439106941223, 0.6865991950035095, 0.5461728572845459, 0.5099572539329529, 0.6924925446510315, 0.6429126262664795, 0.9926167130470276, 0.699485182762146, 0.5331987142562866, 0.5420433878898621, 0.7091144919395447, 0.60804682970047, 0.9933466911315918, 0.6878553032875061, 0.5261607766151428, 0.5395535230636597, 0.698802649974823, 0.5903311371803284, 0.9863340258598328, 0.5272399187088013, 0.6059474349021912, 0.9978898167610168, 0.4801003634929657, 0.6589980721473694, 0.9979866743087769, 0.7761964797973633, 0.7023270726203918, 0.23392963409423828, 0.6917639970779419, 0.782221794128418, 0.6901874542236328, 0.6307083368301392, 1.011633038520813, 0.04033919796347618, 0.5758631825447083, 0.9981731176376343, 0.051857080310583115, 0.6050304174423218, 1.0317219495773315, 0.04757125675678253, 0.5407479405403137, 1.0080797672271729, 0.05385290086269379, 0.6179676055908203, 1.1105633974075317, 0.036342840641736984, 0.6013052463531494, 1.0765736103057861, 0.046655185520648956]"
SittingData\good\2\100.jpg,,good,"[0.5342094898223877, -0.07033616304397583, 0.9981681108474731, 0.523644745349884, -0.10564011335372925, 0.9917240738868713, 0.5232756733894348, -0.10634386539459229, 0.995149552822113, 0.5199758410453796, -0.10521113872528076, 0.9954741597175598, 0.5255256295204163, -0.10803496837615967, 0.9959623217582703, 0.5235612392425537, -0.10846191644668579, 0.9984538555145264, 0.5207260251045227, -0.10947650671005249, 0.9979641437530518, 0.49169573187828064, -0.09117823839187622, 0.9990262985229492, 0.4909112751483917, -0.0920037031173706, 0.9986867308616638, 0.524592399597168, -0.023132383823394775, 0.9955388903617859, 0.5248103737831116, -0.026560723781585693, 0.9975256323814392, 0.5013235211372375, 0.11643779277801514, 0.999754011631012, 0.46876293420791626, 0.094521164894104, 0.9995920062065125, 0.6769050359725952, 0.11296713352203369, 0.6479620337486267, 0.6751444935798645, 0.05919790267944336, 0.9935339689254761, 0.8327468633651733, 0.0625448226928711, 0.2293984293937683, 0.8531138300895691, 0.01912134885787964, 0.9935812950134277, 0.8682978749275208, 0.05491846799850464, 0.29634761810302734, 0.9047431945800781, 0.0001353621482849121, 0.9940271377563477, 0.8750027418136597, 0.05089461803436279, 0.32121407985687256, 0.9066439867019653, 0.002638697624206543, 0.9944380521774292, 0.8675269484519958, 0.06163358688354492, 0.37748122215270996, 0.8894504308700562, 0.019241392612457275, 0.9905233979225159, 0.5595507025718689, 0.5823196172714233, 0.9991400241851807, 0.509819746017456, 0.6383708715438843, 0.999472439289093, 0.7880237102508545, 0.7000964879989624, 0.6212058067321777, 0.7842624187469482, 0.7570708990097046, 0.9875205755233765, 0.7368117570877075, 1.120240569114685, 0.6197042465209961, 0.6920030117034912, 1.1442115306854248, 0.9770001173019409, 0.7119724750518799, 1.1706792116165161, 0.7217547297477722, 0.6586049795150757, 1.1971689462661743, 0.9753656387329102, 0.7518048882484436, 1.2340223789215088, 0.7459055781364441, 0.7417864203453064, 1.2159696817398071, 0.9692678451538086]"
SittingData\good\2\101.jpg,,good,"[0.5419679880142212, -0.053606271743774414, 0.9965716600418091, 0.5386841893196106, -0.08744174242019653, 0.989141583442688, 0.5367165803909302, -0.08615380525588989, 0.9937430024147034, 0.5346038937568665, -0.08388757705688477, 0.9943475127220154, 0.5351119637489319, -0.09035801887512207, 0.9934117197990417, 0.530951976776123, -0.09142279624938965, 0.9973065853118896, 0.526490330696106, -0.09260129928588867, 0.9964721202850342, 0.508673906326294, -0.08484798669815063, 0.9989126920700073, 0.5022025108337402, -0.09617060422897339, 0.9977360963821411, 0.5318042635917664, -0.01223134994506836, 0.9931315779685974, 0.5281290411949158, -0.017548799514770508, 0.995354413986206, 0.5169747471809387, 0.11404222249984741, 0.9996060729026794, 0.4568549394607544, 0.09384936094284058, 0.9990221261978149, 0.6822599768638611, 0.11121946573257446, 0.7189488410949707, 0.6695111393928528, 0.05990338325500488, 0.9920044541358948, 0.8450456857681274, 0.057492077350616455, 0.2533281147480011, 0.8619018793106079, 0.01504594087600708, 0.9873781800270081, 0.8713239431381226, 0.055684030055999756, 0.3040429949760437, 0.9060162305831909, -0.0067557692527771, 0.9875766038894653, 0.8819082975387573, 0.049734652042388916, 0.32563483715057373, 0.9129685163497925, -0.005528688430786133, 0.9890381097793579, 0.8742893934249878, 0.059235572814941406, 0.3774251341819763, 0.8822100758552551, 0.005173385143280029, 0.9818950295448303, 0.5659636855125427, 0.5895923972129822, 0.9991512298583984, 0.5058304667472839, 0.6509057879447937, 0.9992272853851318, 0.7933930158615112, 0.6964139938354492, 0.893304705619812, 0.7415445446968079, 0.806611955165863, 0.9925588369369507, 0.7312295436859131, 1.0290720462799072, 0.868857204914093, 0.6695413589477539, 1.0993688106536865, 0.9746052026748657, 0.7208269238471985, 1.1766366958618164, 0.8969404101371765, 0.6351172924041748, 1.1399290561676025, 0.973576545715332, 0.7794201374053955, 1.231281042098999, 0.9033896327018738, 0.7174092531204224, 1.1782740354537964, 0.967606246471405]"
SittingData\good\2\102.jpg,,good,"[0.5273514986038208, -0.07022058963775635, 0.9953603148460388, 0.5166118741035461, -0.1052747368812561, 0.9851378202438354, 0.5166075825691223, -0.10556536912918091, 0.9903004169464111, 0.5142656564712524, -0.1046873927116394, 0.9924410581588745, 0.517388641834259, -0.10714608430862427, 0.9919251799583435, 0.5147466659545898, -0.10776329040527344, 0.9961044788360596, 0.5090140700340271, -0.10362398624420166, 0.9956064820289612, 0.48842212557792664, -0.09177112579345703, 0.9985896944999695, 0.48095738887786865, -0.09150779247283936, 0.9969647526741028, 0.519288957118988, -0.019958794116973877, 0.9931908249855042, 0.5174082517623901, -0.02122443914413452, 0.9949761629104614, 0.5140724778175354, 0.11816692352294922, 0.9996665716171265, 0.46051403880119324, 0.096710205078125, 0.9990372657775879, 0.6834815740585327, 0.10709059238433838, 0.6105737686157227, 0.6685534715652466, 0.06898939609527588, 0.9872131943702698, 0.8427149653434753, 0.059856120496988297, 0.1370791643857956, 0.8535462617874146, 0.021425068378448486, 0.9812992215156555, 0.8776494860649109, 0.056929945945739746, 0.17331254482269287, 0.8981333374977112, 0.006866633892059326, 0.9820882678031921, 0.8888614177703857, 0.05132472515106201, 0.18914131820201874, 0.9044545888900757, 0.0004115104675292969, 0.9831862449645996, 0.8785154819488525, 0.060320377349853516, 0.23261931538581848, 0.8879295587539673, 0.01407402753829956, 0.9709394574165344, 0.5637789368629456, 0.5839108228683472, 0.9993280172348022, 0.5019637942314148, 0.6386314630508423, 0.9993354678153992, 0.7921929955482483, 0.7058603763580322, 0.8603876233100891, 0.7216933965682983, 0.8053082227706909, 0.9873036742210388, 0.738869309425354, 1.1355321407318115, 0.8084002733230591, 0.6435744166374207, 1.094143033027649, 0.9366066455841064, 0.7122287154197693, 1.1892244815826416, 0.8126184344291687, 0.6131842136383057, 1.1306979656219482, 0.9329186677932739, 0.760538637638092, 1.258695363998413, 0.8295814394950867, 0.6787737607955933, 1.1810312271118164, 0.9164451360702515]"
SittingData\good\2\103.jpg,,good,"[0.52677321434021, -0.07667297124862671, 0.9948112964630127, 0.5194254517555237, -0.11580383777618408, 0.9824556112289429, 0.5165845155715942, -0.11604577302932739, 0.989557683467865, 0.5140511393547058, -0.1152915358543396, 0.9912756681442261, 0.5170245170593262, -0.11527127027511597, 0.9895025491714478, 0.5144900679588318, -0.11329811811447144, 0.9953153133392334, 0.5103625059127808, -0.11311209201812744, 0.9942264556884766, 0.48823294043540955, -0.10222917795181274, 0.998363196849823, 0.48249953985214233, -0.10049498081207275, 0.9960243701934814, 0.5172267556190491, -0.030606210231781006, 0.9919620156288147, 0.51561039686203, -0.034249186515808105, 0.9938355088233948, 0.51341712474823, 0.11028051376342773, 0.9996693134307861, 0.4617648422718048, 0.0889546275138855, 0.9987921118736267, 0.6832877993583679, 0.10314226150512695, 0.6754571795463562, 0.670548677444458, 0.0765867829322815, 0.9834845662117004, 0.8421955704689026, 0.056623101234436035, 0.1780574470758438, 0.8494336605072021, 0.02832496166229248, 0.9667733311653137, 0.871074914932251, 0.054202914237976074, 0.21617935597896576, 0.8895235061645508, 0.03383755683898926, 0.9693376421928406, 0.8833767175674438, 0.046352267265319824, 0.23484818637371063, 0.8994312286376953, 0.0032559633255004883, 0.9716147780418396, 0.874640166759491, 0.0565108060836792, 0.2814309895038605, 0.8678502440452576, 0.019579410552978516, 0.9536949992179871, 0.5656052231788635, 0.5833426117897034, 0.9990264177322388, 0.5024002194404602, 0.6435531973838806, 0.9990211725234985, 0.7950929999351501, 0.6998223662376404, 0.8413814306259155, 0.7183706164360046, 0.8067464232444763, 0.9832014441490173, 0.7519814968109131, 1.1197192668914795, 0.78182452917099, 0.654744565486908, 1.1130560636520386, 0.9403495192527771, 0.7267055511474609, 1.1786128282546997, 0.8131390810012817, 0.6245630979537964, 1.1590913534164429, 0.9361380934715271, 0.7813383340835571, 1.2272980213165283, 0.8159255385398865, 0.7016951441764832, 1.185765027999878, 0.9180161952972412]"
SittingData\good\2\104.jpg,,good,"[0.5427940487861633, -0.10979616641998291, 0.9965425133705139, 0.5386463403701782, -0.1507800817489624, 0.9885664582252502, 0.5349300503730774, -0.15118348598480225, 0.993465006351471, 0.5315436720848083, -0.15049606561660767, 0.9943748712539673, 0.5381616353988647, -0.1488279104232788, 0.9935309290885925, 0.5339842438697815, -0.14883571863174438, 0.9973037242889404, 0.5294643640518188, -0.14916247129440308, 0.9965073466300964, 0.49870041012763977, -0.1377125382423401, 0.9990407824516296, 0.4951539933681488, -0.1374293565750122, 0.9977699518203735, 0.5280322432518005, -0.0626494288444519, 0.9941746592521667, 0.5263338088989258, -0.06679189205169678, 0.9961054921150208, 0.505689799785614, 0.1027979850769043, 0.9997527003288269, 0.4560717046260834, 0.09914553165435791, 0.9993566870689392, 0.6764916181564331, 0.12203282117843628, 0.6418532133102417, 0.6695846319198608, 0.07859033346176147, 0.9952059388160706, 0.8317922353744507, 0.06058645248413086, 0.2331313043832779, 0.8553498983383179, 0.019566774368286133, 0.9918924570083618, 0.8651905059814453, 0.051891982555389404, 0.2956644296646118, 0.8995695114135742, 0.0010784268379211426, 0.9922866821289062, 0.8753942251205444, 0.046155571937561035, 0.3145259618759155, 0.9064186215400696, -0.008717656135559082, 0.993101954460144, 0.8703399896621704, 0.0602269172668457, 0.36659228801727295, 0.891342282295227, 0.020626425743103027, 0.9881103038787842, 0.5528274178504944, 0.602891206741333, 0.9995347261428833, 0.5019524097442627, 0.6628260016441345, 0.9996073842048645, 0.7924069166183472, 0.6969828009605408, 0.8178264498710632, 0.7784199118614197, 0.7671353816986084, 0.9951153993606567, 0.7284991145133972, 1.0987080335617065, 0.8273900151252747, 0.6475747227668762, 1.100402593612671, 0.9883006811141968, 0.6976068019866943, 1.1504864692687988, 0.8917214870452881, 0.6064695715904236, 1.139575719833374, 0.9849672913551331, 0.7599614262580872, 1.2120015621185303, 0.8864141702651978, 0.6899784803390503, 1.190058708190918, 0.9847880601882935]"
SittingData\good\2\105.jpg,,good,"[0.5389999747276306, -0.07674413919448853, 0.9966841340065002, 0.5278929471969604, -0.11608529090881348, 0.9877069592475891, 0.5249421000480652, -0.1166539192199707, 0.9929317235946655, 0.5266001224517822, -0.11629533767700195, 0.9937365055084229, 0.5262473821640015, -0.11639243364334106, 0.9926424622535706, 0.5228440165519714, -0.1168181300163269, 0.99692302942276, 0.5192177891731262, -0.11814618110656738, 0.9959775805473328, 0.49770477414131165, -0.10520792007446289, 0.9987610578536987, 0.4939832091331482, -0.10818928480148315, 0.9972859621047974, 0.5276504158973694, -0.03146857023239136, 0.9932544827461243, 0.5249224901199341, -0.03386181592941284, 0.9952400922775269, 0.5141773819923401, 0.11461663246154785, 0.9997144341468811, 0.4599401652812958, 0.09887337684631348, 0.9991546869277954, 0.6795171499252319, 0.11411315202713013, 0.6773689985275269, 0.6725128293037415, 0.07849067449569702, 0.9910887479782104, 0.8427715301513672, 0.062257472425699234, 0.22271181643009186, 0.8659998178482056, 0.0344662070274353, 0.9874167442321777, 0.871256947517395, 0.05652773380279541, 0.2714621126651764, 0.9113488793373108, 0.01313871145248413, 0.9878668785095215, 0.883589506149292, 0.05044835805892944, 0.294016569852829, 0.9170793294906616, 0.013255000114440918, 0.9891071915626526, 0.8747440576553345, 0.06355005502700806, 0.34249523282051086, 0.8996713161468506, 0.03497147560119629, 0.9812414646148682, 0.5618639588356018, 0.591770589351654, 0.9990653395652771, 0.5059976577758789, 0.6495617628097534, 0.9991525411605835, 0.7917395830154419, 0.7005211710929871, 0.8256874680519104, 0.741238534450531, 0.81813645362854, 0.9856446981430054, 0.7540556192398071, 1.1581439971923828, 0.806568443775177, 0.6705429553985596, 1.1248862743377686, 0.9566101431846619, 0.7284277081489563, 1.221114158630371, 0.852989137172699, 0.6369261145591736, 1.1698400974273682, 0.9594542384147644, 0.7877249121665955, 1.271430492401123, 0.8565006256103516, 0.7176744341850281, 1.1966381072998047, 0.9452642798423767]"
SittingData\good\2\106.jpg,,good,"[0.5306207537651062, -0.06007594242691994, 0.9974237680435181, 0.5257386565208435, -0.10038989782333374, 0.9908161163330078, 0.5228091478347778, -0.10048264265060425, 0.9944879412651062, 0.5201598405838013, -0.09961491823196411, 0.9952646493911743, 0.521155834197998, -0.09741604328155518, 0.995305061340332, 0.5198751091957092, -0.09673476219177246, 0.998029887676239, 0.5170802474021912, -0.09724652767181396, 0.9975780844688416, 0.49355706572532654, -0.0861821174621582, 0.9991660118103027, 0.4881317913532257, -0.08598470687866211, 0.998519241809845, 0.5230633616447449, -0.01466524600982666, 0.9955567717552185, 0.5215400457382202, -0.017998576164245605, 0.9971950054168701, 0.5091033577919006, 0.11759954690933228, 0.9997239708900452, 0.46346691250801086, 0.10101425647735596, 0.9993270635604858, 0.6790146231651306, 0.1178884506225586, 0.6855862140655518, 0.669926643371582, 0.08791261911392212, 0.9908537864685059, 0.8448386788368225, 0.06767213344573975, 0.1843467503786087, 0.8517333269119263, 0.03908061981201172, 0.9864728450775146, 0.8879889249801636, 0.054363131523132324, 0.23630936443805695, 0.8983612060546875, 0.021127939224243164, 0.9877403378486633, 0.8938138484954834, 0.05044955015182495, 0.25892767310142517, 0.904790461063385, 0.017447590827941895, 0.9886429905891418, 0.8835114240646362, 0.06264692544937134, 0.3181024193763733, 0.889032781124115, 0.03505295515060425, 0.9814753532409668, 0.5633700489997864, 0.5853651762008667, 0.9992656111717224, 0.5094193816184998, 0.6402071118354797, 0.9994087219238281, 0.7905134558677673, 0.7006474137306213, 0.8617856502532959, 0.7814522981643677, 0.7694502472877502, 0.9927563071250916, 0.7412989139556885, 1.1063432693481445, 0.7984837293624878, 0.685042142868042, 1.1011803150177002, 0.9753325581550598, 0.7144477367401123, 1.156348705291748, 0.8254254460334778, 0.6547740697860718, 1.145759105682373, 0.9718645215034485, 0.7614135146141052, 1.2232476472854614, 0.8459683060646057, 0.7314177751541138, 1.1713855266571045, 0.9654553532600403]"
SittingData\good\2\107.jpg,,good,"[0.5527680516242981, -0.10179108381271362, 0.9958509206771851, 0.5439528226852417, -0.14565718173980713, 0.9884182810783386, 0.5406711101531982, -0.14541012048721313, 0.9936036467552185, 0.5377241969108582, -0.14412277936935425, 0.9948239326477051, 0.5425319075584412, -0.144706130027771, 0.9924429059028625, 0.5380808115005493, -0.14462482929229736, 0.9965028762817383, 0.533268392086029, -0.144866943359375, 0.9955433011054993, 0.5054561495780945, -0.12674027681350708, 0.9991508722305298, 0.4991854429244995, -0.12887078523635864, 0.9969159364700317, 0.535693883895874, -0.06196993961930275, 0.9947227239608765, 0.532116711139679, -0.06412345170974731, 0.9955558180809021, 0.5138751268386841, 0.1017947793006897, 0.9998024106025696, 0.45664528012275696, 0.10441458225250244, 0.9983250498771667, 0.6789358258247375, 0.11078017950057983, 0.7491570115089417, 0.6706839203834534, 0.11109882593154907, 0.9803758859634399, 0.8446743488311768, 0.0699300765991211, 0.23058420419692993, 0.856914758682251, 0.05560493469238281, 0.9656354188919067, 0.8917061686515808, 0.04271012544631958, 0.26516619324684143, 0.9083774089813232, 0.03332948684692383, 0.9698151350021362, 0.9005757570266724, 0.04888433218002319, 0.28504616022109985, 0.9141908288002014, 0.031670212745666504, 0.9729318618774414, 0.8896757960319519, 0.06749612092971802, 0.33753490447998047, 0.8968256115913391, 0.05585134029388428, 0.9546330571174622, 0.562487781047821, 0.5839938521385193, 0.9991718530654907, 0.501349151134491, 0.6475170850753784, 0.9987976551055908, 0.7941463589668274, 0.7045121192932129, 0.9302183985710144, 0.7231702208518982, 0.8244593739509583, 0.9855777621269226, 0.7330675721168518, 1.054604411125183, 0.8459840416908264, 0.6550115346908569, 1.0819393396377563, 0.9161228537559509, 0.7161474227905273, 1.1978061199188232, 0.8688050508499146, 0.623695969581604, 1.1168431043624878, 0.919848620891571, 0.7766843438148499, 1.2630279064178467, 0.8632974624633789, 0.7008021473884583, 1.1524347066879272, 0.8936846852302551]"
SittingData\good\2\108.jpg,,good,"[0.5437285900115967, -0.10281658172607422, 0.9976738095283508, 0.5377045273780823, -0.15237504243850708, 0.9911115765571594, 0.533314049243927, -0.15285658836364746, 0.9958237409591675, 0.5292460322380066, -0.15217405557632446, 0.9956188797950745, 0.5303890109062195, -0.1432221531867981, 0.9940316081047058, 0.5276395082473755, -0.1427021622657776, 0.997938334941864, 0.531302809715271, -0.1506727933883667, 0.9967435002326965, 0.4951334297657013, -0.13952410221099854, 0.9992372989654541, 0.4970705211162567, -0.1392592191696167, 0.9980941414833069, 0.5253267884254456, -0.054075419902801514, 0.9947516322135925, 0.5253971815109253, -0.06074702739715576, 0.9963811039924622, 0.4956313371658325, 0.10229450464248657, 0.9997636675834656, 0.45766976475715637, 0.09885519742965698, 0.999327540397644, 0.6741501688957214, 0.12434541434049606, 0.771964967250824, 0.6696100831031799, 0.1082715392112732, 0.9945002794265747, 0.8439050316810608, 0.07066762447357178, 0.4754900634288788, 0.8672298789024353, 0.050937116146087646, 0.9923933744430542, 0.88664710521698, 0.053570449352264404, 0.5395508408546448, 0.915187656879425, 0.03138166666030884, 0.9937471151351929, 0.8994070887565613, 0.04965859651565552, 0.5665926933288574, 0.9166485071182251, 0.03367215394973755, 0.9945430755615234, 0.8876721858978271, 0.06699639558792114, 0.6166206002235413, 0.9046632647514343, 0.053997695446014404, 0.9910679459571838, 0.5555000901222229, 0.6094260215759277, 0.9984747767448425, 0.5053374767303467, 0.6777531504631042, 0.9989339709281921, 0.7940000891685486, 0.699997067451477, 0.7365548610687256, 0.7896711826324463, 0.7609179615974426, 0.994350254535675, 0.7506691217422485, 1.11739981174469, 0.7429566383361816, 0.6990276575088501, 1.196118950843811, 0.9941206574440002, 0.7240175604820251, 1.1703615188598633, 0.8616326451301575, 0.6588664650917053, 1.252274751663208, 0.9927093982696533, 0.7777045369148254, 1.2286722660064697, 0.8622682690620422, 0.7628025412559509, 1.2828104496002197, 0.9914354681968689]"
